C02199V02655,Sex,C03367V04052,County,TLIST(A1),CensusYear,C02076V03371,Age Group,STATISTIC,Statistic Label,UNIT,VALUE,C03789V04537,Administrative Counties
-,Both sexes,CW,Carlow,2011,2011,-,All ages,EY015C01,Persons in private households,Number,54187.0,,
-,Both sexes,CW,Carlow,2011,2011,-,All ages,EY015C02,Persons living alone,Number,4341.0,,
-,Both sexes,CW,Carlow,2011,2011,-,All ages,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,8.0,,
-,Both sexes,CW,Carlow,2011,2011,575,65 years and over,EY015C01,Persons in private households,Number,5733.0,,
-,Both sexes,CW,Carlow,2011,2011,575,65 years and over,EY015C02,Persons living alone,Number,1506.0,,
-,Both sexes,CW,Carlow,2011,2011,575,65 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,26.3,,
-,Both sexes,CW,Carlow,2011,2011,590,70 years and over,EY015C01,Persons in private households,Number,3770.0,,
-,Both sexes,CW,Carlow,2011,2011,590,70 years and over,EY015C02,Persons living alone,Number,1137.0,,
-,Both sexes,CW,Carlow,2011,2011,590,70 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,30.2,,
-,Both sexes,CW,Carlow,2011,2011,605,75 years and over,EY015C01,Persons in private households,Number,2282.0,,
-,Both sexes,CW,Carlow,2011,2011,605,75 years and over,EY015C02,Persons living alone,Number,807.0,,
-,Both sexes,CW,Carlow,2011,2011,605,75 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,35.4,,
-,Both sexes,CW,Carlow,2011,2011,620,80 years and over,EY015C01,Persons in private households,Number,1206.0,,
-,Both sexes,CW,Carlow,2011,2011,620,80 years and over,EY015C02,Persons living alone,Number,468.0,,
-,Both sexes,CW,Carlow,2011,2011,620,80 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,38.8,,
-,Both sexes,CW,Carlow,2011,2011,630,85 years and over,EY015C01,Persons in private households,Number,463.0,,
-,Both sexes,CW,Carlow,2011,2011,630,85 years and over,EY015C02,Persons living alone,Number,170.0,,
-,Both sexes,CW,Carlow,2011,2011,630,85 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,36.7,,
-,Both sexes,CW,Carlow,2016,2016,-,All ages,EY015C01,Persons in private households,Number,56609.0,,
-,Both sexes,CW,Carlow,2016,2016,-,All ages,EY015C02,Persons living alone,Number,4793.0,,
-,Both sexes,CW,Carlow,2016,2016,-,All ages,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,8.5,,
-,Both sexes,CW,Carlow,2016,2016,575,65 years and over,EY015C01,Persons in private households,Number,6897.0,,
-,Both sexes,CW,Carlow,2016,2016,575,65 years and over,EY015C02,Persons living alone,Number,1837.0,,
-,Both sexes,CW,Carlow,2016,2016,575,65 years and over,EY015C03,Persons living alone as a percentage of persons in the age group in private households,%,26.6,,
-,Both sexes,CW,Carlow,2016,2016,590,70 years and over,EY015C01,Persons in private households,Number,4483.0,,
-,Both sexes,CW,Carlow,2016,2016,590,70 years and over,EY015C02,Persons living alone,Number,1372.0,,
