CensusYear,County,Sex,Age Group,VALUE
2011,Carlow,All,65 years and over,1506.0
2011,Carlow,All,70 years and over,1137.0
2011,Carlow,All,75 years and over,807.0
2011,Carlow,All,80 years and over,468.0
2011,Carlow,All,85 years and over,170.0
2011,Carlow,Male,65 years and over,585.0
2011,Carlow,Male,70 years and over,415.0
2011,Carlow,Male,75 years and over,274.0
2011,Carlow,Male,80 years and over,148.0
2011,Carlow,Male,85 years and over,51.0
2011,Carlow,Female,65 years and over,921.0
2011,Carlow,Female,70 years and over,722.0
2011,Carlow,Female,75 years and over,533.0
2011,Carlow,Female,80 years and over,320.0
2011,Carlow,Female,85 years and over,119.0
2016,Carlow,All,65 years and over,1837.0
2016,Carlow,All,70 years and over,1372.0
2016,Carlow,All,75 years and over,934.0
2016,Carlow,All,80 years and over,561.0
2016,Carlow,All,85 years and over,251.0
2016,Carlow,Male,65 years and over,723.0
2016,Carlow,Male,70 years and over,485.0
2016,Carlow,Male,75 years and over,312.0
2016,Carlow,Male,80 years and over,172.0
2016,Carlow,Male,85 years and over,72.0
2016,Carlow,Female,65 years and over,1114.0
2016,Carlow,Female,70 years and over,887.0
2016,Carlow,Female,75 years and over,622.0
2016,Carlow,Female,80 years and over,389.0
2016,Carlow,Female,85 years and over,179.0
2022,Carlow,All,65 years and over,2169.0
2022,Carlow,All,70 years and over,1673.0
2022,Carlow,All,75 years and over,1146.0
2022,Carlow,All,80 years and over,692.0
2022,Carlow,All,85 years and over,307.0
2022,Carlow,Male,65 years and over,877.0
2022,Carlow,Male,70 years and over,630.0
2022,Carlow,Male,75 years and over,395.0
2022,Carlow,Male,80 years and over,208.0
2022,Carlow,Male,85 years and over,88.0
2022,Carlow,Female,65 years and over,1292.0
2022,Carlow,Female,70 years and over,1043.0
2022,Carlow,Female,75 years and over,751.0
2022,Carlow,Female,80 years and over,484.0
2022,Carlow,Female,85 years and over,219.0
2025,Carlow,All,65 years and over,2357.0
2025,Carlow,All,70 years and over,1847.0
2025,Carlow,All,75 years and over,1269.0
2025,Carlow,All,80 years and over,769.0
2025,Carlow,All,85 years and over,340.0
2025,Carlow,Male,65 years and over,966.0
2025,Carlow,Male,70 years and over,718.0
2025,Carlow,Male,75 years and over,444.0
2025,Carlow,Male,80 years and over,229.0
2025,Carlow,Male,85 years and over,97.0
2025,Carlow,Female,65 years and over,1391.0
2025,Carlow,Female,70 years and over,1131.0
2025,Carlow,Female,75 years and over,825.0
2025,Carlow,Female,80 years and over,540.0
2025,Carlow,Female,85 years and over,242.0
2011,Cavan,All,65 years and over,2443.0
2011,Cavan,All,70 years and over,1897.0
2011,Cavan,All,75 years and over,1396.0
2011,Cavan,All,80 years and over,810.0
2011,Cavan,All,85 years and over,358.0
2011,Cavan,Male,65 years and over,1053.0
2011,Cavan,Male,70 years and over,734.0
2011,Cavan,Male,75 years and over,497.0
2011,Cavan,Male,80 years and over,257.0
2011,Cavan,Male,85 years and over,107.0
2011,Cavan,Female,65 years and over,1390.0
2011,Cavan,Female,70 years and over,1163.0
2011,Cavan,Female,75 years and over,899.0
2011,Cavan,Female,80 years and over,553.0
2011,Cavan,Female,85 years and over,251.0
2016,Cavan,All,65 years and over,2755.0
2016,Cavan,All,70 years and over,2071.0
2016,Cavan,All,75 years and over,1476.0
2016,Cavan,All,80 years and over,911.0
2016,Cavan,All,85 years and over,395.0
2016,Cavan,Male,65 years and over,1244.0
2016,Cavan,Male,70 years and over,872.0
2016,Cavan,Male,75 years and over,551.0
2016,Cavan,Male,80 years and over,298.0
2016,Cavan,Male,85 years and over,116.0
2016,Cavan,Female,65 years and over,1511.0
2016,Cavan,Female,70 years and over,1199.0
2016,Cavan,Female,75 years and over,925.0
2016,Cavan,Female,80 years and over,613.0
2016,Cavan,Female,85 years and over,279.0
2022,Cavan,All,65 years and over,3235.0
2022,Cavan,All,70 years and over,2456.0
2022,Cavan,All,75 years and over,1735.0
2022,Cavan,All,80 years and over,1078.0
2022,Cavan,All,85 years and over,556.0
2022,Cavan,Male,65 years and over,1425.0
2022,Cavan,Male,70 years and over,1023.0
2022,Cavan,Male,75 years and over,658.0
2022,Cavan,Male,80 years and over,372.0
2022,Cavan,Male,85 years and over,151.0
2022,Cavan,Female,65 years and over,1810.0
2022,Cavan,Female,70 years and over,1433.0
2022,Cavan,Female,75 years and over,1077.0
2022,Cavan,Female,80 years and over,706.0
2022,Cavan,Female,85 years and over,405.0
2025,Cavan,All,65 years and over,3506.0
2025,Cavan,All,70 years and over,2675.0
2025,Cavan,All,75 years and over,1881.0
2025,Cavan,All,80 years and over,1173.0
2025,Cavan,All,85 years and over,660.0
2025,Cavan,Male,65 years and over,1525.0
2025,Cavan,Male,70 years and over,1108.0
2025,Cavan,Male,75 years and over,719.0
2025,Cavan,Male,80 years and over,416.0
2025,Cavan,Male,85 years and over,172.0
2025,Cavan,Female,65 years and over,1981.0
2025,Cavan,Female,70 years and over,1567.0
2025,Cavan,Female,75 years and over,1162.0
2025,Cavan,Female,80 years and over,758.0
2025,Cavan,Female,85 years and over,488.0
2011,Clare,All,65 years and over,3904.0
2011,Clare,All,70 years and over,2919.0
2011,Clare,All,75 years and over,2066.0
2011,Clare,All,80 years and over,1231.0
2011,Clare,All,85 years and over,571.0
2011,Clare,Male,65 years and over,1550.0
2011,Clare,Male,70 years and over,1066.0
2011,Clare,Male,75 years and over,688.0
2011,Clare,Male,80 years and over,358.0
2011,Clare,Male,85 years and over,163.0
2011,Clare,Female,65 years and over,2354.0
2011,Clare,Female,70 years and over,1853.0
2011,Clare,Female,75 years and over,1378.0
2011,Clare,Female,80 years and over,873.0
2011,Clare,Female,85 years and over,408.0
2016,Clare,All,65 years and over,4529.0
2016,Clare,All,70 years and over,3310.0
2016,Clare,All,75 years and over,2273.0
2016,Clare,All,80 years and over,1373.0
2016,Clare,All,85 years and over,648.0
2016,Clare,Male,65 years and over,1830.0
2016,Clare,Male,70 years and over,1240.0
2016,Clare,Male,75 years and over,785.0
2016,Clare,Male,80 years and over,431.0
2016,Clare,Male,85 years and over,172.0
2016,Clare,Female,65 years and over,2699.0
2016,Clare,Female,70 years and over,2070.0
2016,Clare,Female,75 years and over,1488.0
2016,Clare,Female,80 years and over,942.0
2016,Clare,Female,85 years and over,476.0
2022,Clare,All,65 years and over,5566.0
2022,Clare,All,70 years and over,4144.0
2022,Clare,All,75 years and over,2785.0
2022,Clare,All,80 years and over,1614.0
2022,Clare,All,85 years and over,770.0
2022,Clare,Male,65 years and over,2298.0
2022,Clare,Male,70 years and over,1604.0
2022,Clare,Male,75 years and over,1012.0
2022,Clare,Male,80 years and over,552.0
2022,Clare,Male,85 years and over,242.0
2022,Clare,Female,65 years and over,3268.0
2022,Clare,Female,70 years and over,2540.0
2022,Clare,Female,75 years and over,1773.0
2022,Clare,Female,80 years and over,1062.0
2022,Clare,Female,85 years and over,528.0
2025,Clare,All,65 years and over,6170.0
2025,Clare,All,70 years and over,4637.0
2025,Clare,All,75 years and over,3083.0
2025,Clare,All,80 years and over,1750.0
2025,Clare,All,85 years and over,839.0
2025,Clare,Male,65 years and over,2575.0
2025,Clare,Male,70 years and over,1824.0
2025,Clare,Male,75 years and over,1149.0
2025,Clare,Male,80 years and over,625.0
2025,Clare,Male,85 years and over,287.0
2025,Clare,Female,65 years and over,3596.0
2025,Clare,Female,70 years and over,2814.0
2025,Clare,Female,75 years and over,1935.0
2025,Clare,Female,80 years and over,1128.0
2025,Clare,Female,85 years and over,556.0
2022,Cork,All,65 years and over,13559.0
2022,Cork,All,70 years and over,10289.0
2022,Cork,All,75 years and over,7110.0
2022,Cork,All,80 years and over,4258.0
2022,Cork,All,85 years and over,2127.0
2022,Cork,Male,65 years and over,5580.0
2022,Cork,Male,70 years and over,3955.0
2022,Cork,Male,75 years and over,2468.0
2022,Cork,Male,80 years and over,1343.0
2022,Cork,Male,85 years and over,648.0
2022,Cork,Female,65 years and over,7979.0
2022,Cork,Female,70 years and over,6334.0
2022,Cork,Female,75 years and over,4642.0
2022,Cork,Female,80 years and over,2915.0
2022,Cork,Female,85 years and over,1479.0
2011,Cork City,All,65 years and over,4863.0
2011,Cork City,All,70 years and over,3756.0
2011,Cork City,All,75 years and over,2647.0
2011,Cork City,All,80 years and over,1582.0
2011,Cork City,All,85 years and over,693.0
2011,Cork City,Male,65 years and over,1540.0
2011,Cork City,Male,70 years and over,1077.0
2011,Cork City,Male,75 years and over,690.0
2011,Cork City,Male,80 years and over,382.0
2011,Cork City,Male,85 years and over,155.0
2011,Cork City,Female,65 years and over,3323.0
2011,Cork City,Female,70 years and over,2679.0
2011,Cork City,Female,75 years and over,1957.0
2011,Cork City,Female,80 years and over,1200.0
2011,Cork City,Female,85 years and over,538.0
2016,Cork City,All,65 years and over,5376.0
2016,Cork City,All,70 years and over,4071.0
2016,Cork City,All,75 years and over,2873.0
2016,Cork City,All,80 years and over,1727.0
2016,Cork City,All,85 years and over,764.0
2016,Cork City,Male,65 years and over,1855.0
2016,Cork City,Male,70 years and over,1262.0
2016,Cork City,Male,75 years and over,790.0
2016,Cork City,Male,80 years and over,462.0
2016,Cork City,Male,85 years and over,190.0
2016,Cork City,Female,65 years and over,3521.0
2016,Cork City,Female,70 years and over,2809.0
2016,Cork City,Female,75 years and over,2083.0
2016,Cork City,Female,80 years and over,1265.0
2016,Cork City,Female,85 years and over,574.0
2022,Cork City Council,All,65 years and over,8420.0
2022,Cork City Council,All,70 years and over,6491.0
2022,Cork City Council,All,75 years and over,4542.0
2022,Cork City Council,All,80 years and over,2808.0
2022,Cork City Council,All,85 years and over,1334.0
