CensusYear,County,Sex,Age Group,VALUE
2025,Carlow,Both sexes,65 years and over,2357.0
2025,Carlow,Both sexes,70 years and over,1847.0
2025,Carlow,Both sexes,75 years and over,1269.0
2025,Carlow,Both sexes,80 years and over,769.0
2025,Carlow,Both sexes,85 years and over,340.0
2025,Fingal,Both sexes,65 years and over,8074.0
2025,Fingal,Both sexes,70 years and over,6260.0
2025,Fingal,Both sexes,75 years and over,4343.0
2025,Fingal,Both sexes,80 years and over,2464.0
2025,Fingal,Both sexes,85 years and over,1100.0
2025,South Dublin,Both sexes,65 years and over,9530.0
2025,South Dublin,Both sexes,70 years and over,7517.0
2025,South Dublin,Both sexes,75 years and over,5065.0
2025,South Dublin,Both sexes,80 years and over,3117.0
2025,South Dublin,Both sexes,85 years and over,1610.0
2025,Kildare,Both sexes,65 years and over,6966.0
2025,Kildare,Both sexes,70 years and over,5405.0
2025,Kildare,Both sexes,75 years and over,3682.0
2025,Kildare,Both sexes,80 years and over,2048.0
2025,Kildare,Both sexes,85 years and over,955.0
2025,Kilkenny,Both sexes,65 years and over,4164.0
2025,Kilkenny,Both sexes,70 years and over,3234.0
2025,Kilkenny,Both sexes,75 years and over,2213.0
2025,Kilkenny,Both sexes,80 years and over,1306.0
2025,Kilkenny,Both sexes,85 years and over,639.0
2025,Laois,Both sexes,65 years and over,3099.0
2025,Laois,Both sexes,70 years and over,2295.0
2025,Laois,Both sexes,75 years and over,1592.0
2025,Laois,Both sexes,80 years and over,909.0
2025,Laois,Both sexes,85 years and over,460.0
2025,Longford,Both sexes,65 years and over,2161.0
2025,Longford,Both sexes,70 years and over,1633.0
2025,Longford,Both sexes,75 years and over,1104.0
2025,Longford,Both sexes,80 years and over,584.0
2025,Longford,Both sexes,85 years and over,307.0
2025,Louth,Both sexes,65 years and over,5334.0
2025,Louth,Both sexes,70 years and over,4180.0
2025,Louth,Both sexes,75 years and over,2925.0
2025,Louth,Both sexes,80 years and over,1713.0
2025,Louth,Both sexes,85 years and over,839.0
2025,Meath,Both sexes,65 years and over,6396.0
2025,Meath,Both sexes,70 years and over,4987.0
2025,Meath,Both sexes,75 years and over,3385.0
2025,Meath,Both sexes,80 years and over,1936.0
2025,Meath,Both sexes,85 years and over,962.0
2025,Offaly,Both sexes,65 years and over,3270.0
2025,Offaly,Both sexes,70 years and over,2493.0
2025,Offaly,Both sexes,75 years and over,1724.0
2025,Offaly,Both sexes,80 years and over,1022.0
2025,Offaly,Both sexes,85 years and over,540.0
2025,Westmeath,Both sexes,65 years and over,3833.0
2025,Westmeath,Both sexes,70 years and over,2780.0
2025,Westmeath,Both sexes,75 years and over,1924.0
2025,Westmeath,Both sexes,80 years and over,1137.0
2025,Westmeath,Both sexes,85 years and over,594.0
2025,Wexford,Both sexes,65 years and over,7366.0
2025,Wexford,Both sexes,70 years and over,5705.0
2025,Wexford,Both sexes,75 years and over,3994.0
2025,Wexford,Both sexes,80 years and over,2412.0
2025,Wexford,Both sexes,85 years and over,1140.0
2025,Wicklow,Both sexes,65 years and over,5964.0
2025,Wicklow,Both sexes,70 years and over,4539.0
2025,Wicklow,Both sexes,75 years and over,3123.0
2025,Wicklow,Both sexes,80 years and over,1833.0
2025,Wicklow,Both sexes,85 years and over,911.0
2025,Clare,Both sexes,65 years and over,6170.0
2025,Clare,Both sexes,70 years and over,4637.0
2025,Clare,Both sexes,75 years and over,3083.0
2025,Clare,Both sexes,80 years and over,1750.0
2025,Clare,Both sexes,85 years and over,839.0
2025,Kerry,Both sexes,65 years and over,8710.0
2025,Kerry,Both sexes,70 years and over,6651.0
2025,Kerry,Both sexes,75 years and over,4475.0
2025,Kerry,Both sexes,80 years and over,2574.0
2025,Kerry,Both sexes,85 years and over,1173.0
2025,Tipperary,Both sexes,65 years and over,8157.0
2025,Tipperary,Both sexes,70 years and over,6190.0
2025,Tipperary,Both sexes,75 years and over,4310.0
2025,Tipperary,Both sexes,80 years and over,2609.0
2025,Tipperary,Both sexes,85 years and over,1319.0
